regime,cand,variant,lag,sign_IS,SR_IS,SR_OOS,SR_net,SR_of_SR,positive_years,n_years,beta,mean_exec_w
full,us_dxy_broad|selfz|w60,c2c,1,-1,0.3467835701249575,0.13346097078854074,0.2656932781943212,0.20021833653807403,0.6190476190476191,21,-0.17034137924652476,-0.003879698772545691
full,us_dxy_broad|selfz|w60,c2c,2,-1,0.20242720150275928,0.1895734455135842,0.19762176781750354,0.08310387321003054,0.5238095238095238,21,-0.16512156308147674,-0.0040318277646730315
full,us_dxy_broad|selfz|w60,o2o,1,-1,0.3741444695358681,0.21447710357975885,0.3165424693854443,0.25311904165428656,0.6190476190476191,21,-0.21923170854613735,-0.003879698772545691
full,us_dxy_broad|selfz|w60,o2o,2,-1,0.2193720498475137,0.18299213188819077,0.20626271205407998,0.11421629223699319,0.6190476190476191,21,-0.20259176201947585,-0.0040318277646730315
full,us_dxy_broad|selfz|w60,day,1,1,0.024578416929826902,-0.2584027880057225,-0.0692112697134654,-0.16377835168550411,0.3333333333333333,21,0.17132823179012052,0.003879698772545691
full,us_dxy_broad|selfz|w60,day,2,1,0.07879197478950643,-0.22724809953350336,-0.022263121022841614,-0.08494990609963039,0.47619047619047616,21,0.16289355211046175,0.0040318277646730315
full,us_dxy_broad|selfz|w120,c2c,1,-1,0.4156546425871414,0.36308760374179067,0.3954355480981503,0.38730588667659005,0.6666666666666666,21,-0.21247731727495262,-0.00010666036516573378
full,us_dxy_broad|selfz|w120,c2c,2,-1,0.2953862466552404,0.3797520192624585,0.32744833839970433,0.25995443453553835,0.5238095238095238,21,-0.2056585875012981,-0.00020010828684064965
full,us_dxy_broad|selfz|w120,o2o,1,-1,0.43647194331319716,0.40773133152746366,0.42594779518504844,0.5148786373634773,0.7142857142857143,21,-0.2471512134933189,-0.00010666036516573378
full,us_dxy_broad|selfz|w120,o2o,2,-1,0.3430568407791839,0.39795359414030607,0.36236081970206296,0.33099100086765443,0.6190476190476191,21,-0.23269180442790793,-0.00020010828684064965
full,us_dxy_broad|selfz|w120,day,1,-1,-0.01170373331256429,0.39162077521080796,0.12402261795417636,0.18890267988043827,0.6666666666666666,21,-0.20212696774751376,-0.00010666036516573378
full,us_dxy_broad|selfz|w120,day,2,1,0.036346797901685844,-0.42403390215065484,-0.11665928226591236,-0.18727517278564737,0.42857142857142855,21,0.19547782245190637,0.00020010828684064965
full,us_dxy_broad|selfz|w252,c2c,1,-1,0.3068241745352756,0.4076045014449284,0.34613258690207327,0.43545250901409766,0.7142857142857143,21,-0.24313004686819342,0.020066358518823036
