regime,signal,variant,lag,declared,recommended,sign,enabled,sources,live_date,pre_normalized,variants,rec_variants,shift_override,SR_IS,SR_OOS,SR_net,SR_gross,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,n_bars,start_date,end_date,gate_srsr,gate_posyr,gate_beta,gate_nyr,n_gates
full,lt_top10_bsdiff_selftanh_w15,c2c,2,True,True,1,True,large_trader+mtx_1d,2026-08-08,False,c2c|o2o|day|noonpause|night|ongap,c2c,-,0.8424940115376103,0.4999502228959397,0.7551207712739073,0.8454393784300659,0.7351162770835948,0.7222222222222222,-1.3645894928565232,18,-0.0667942717203461,-0.002533500352679174,0.6707670028290651,-24.72478743660167,400,73.48047484106519,99.555659494855,4276,2009-04-03,2026-09-01,True,True,True,True,4
full,lt_top10_bsdiff_selftanh_w15,o2o,2,True,False,1,True,large_trader+mtx_1d,2026-08-08,False,c2c|o2o|day|noonpause|night|ongap,c2c,-,0.9250194274461296,0.4755838278974014,0.8204097538997026,0.9120128225363525,0.6975517266498761,0.7222222222222222,-1.325290355568636,18,-0.07219874583269593,-0.002533500352679174,0.6707670028290651,-24.16150959540877,466,73.48047484106519,99.555659494855,4276,2009-04-03,2026-09-01,True,True,True,True,4
full,lt_top10_bsdiff_selftanh_w15,day,1,True,False,1,True,large_trader+mtx_1d,2026-08-08,False,c2c|o2o|day|noonpause|night|ongap,c2c,-,0.9205826868848285,0.28647001469707795,0.8081268887002236,0.9383594415107708,0.6657179320613069,0.7777777777777778,-0.9783820210093734,18,-0.03223959959186856,-0.0023660774938328724,0.6707770021426269,-15.04762163992002,649,73.46463575089233,99.55576338555062,4277,2009-04-02,2026-09-01,True,True,True,True,4
full,lt_top10npct_signth_w60,c2c,2,True,False,1,True,large_trader+mtx_1d,2026-07-29,False,c2c|o2o|day|noonpause|night|ongap,day,-,0.5449726466207008,0.7054449317232578,0.5704357458264631,0.6309369028095667,0.7357812722568324,0.6666666666666666,-0.5815901700375118,18,-0.07884292263381788,-0.005437499448219888,0.6160543999621813,-26.059476106030576,706,49.43409104855248,98.69219990658571,4282,2009-03-26,2026-09-01,True,True,True,True,4
full,lt_top10npct_signth_w60,o2o,2,True,False,1,True,large_trader+mtx_1d,2026-07-29,False,c2c|o2o|day|noonpause|night|ongap,day,-,0.7484575637258403,0.344899374121413,0.6602469033699283,0.7224572185770186,0.6843985424673544,0.7777777777777778,-1.527788145044143,18,-0.10825684758689923,-0.005437499448219888,0.6160543999621813,-29.210776087586044,526,49.43409104855248,98.69219990658571,4282,2009-03-26,2026-09-01,True,True,True,True,4
full,lt_top10npct_signth_w60,day,1,True,True,1,True,large_trader+mtx_1d,2026-07-29,False,c2c|o2o|day|noonpause|night|ongap,day,-,0.8899221255391998,0.06919430696487576,0.7425577173075938,0.8309643168444083,0.5430141340061493,0.7777777777777778,-1.51807914094123,18,-0.09867207153933318,-0.005243141695501156,0.6161036510374751,-16.763586559176424,819,49.42272055797749,98.69250525332711,4283,2009-03-25,2026-09-01,False,True,True,True,3
full,month_turn_drift_d5_d10,c2c,2,True,True,1,True,mtx_1d,2026-08-09,True,c2c|o2o|day|noonpause|night|ongap,c2c,-,0.5816490251475319,1.1849459982085138,0.656669734330116,0.6812185741225512,0.8046238897341524,0.6923076923076923,-1.147503208657419,26,0.7293631795156196,0.7265749920051168,0.7265749920051168,-75.51588609574956,743,22.927406459865686,72.65749920051168,6254,2001-04-11,2026-09-01,True,True,False,True,3
full,month_turn_drift_d5_d10,o2o,2,True,False,1,True,mtx_1d,2026-08-09,True,c2c|o2o|day|noonpause|night|ongap,c2c,-,0.5167740052018596,1.159657415250695,0.591053773338395,0.614434572282511,0.7790627610045296,0.7307692307692307,-0.7445888190354113,26,0.7527421992808688,0.7265749920051168,0.7265749920051168,-68.31979136134494,619,22.927406459865686,72.65749920051168,6254,2001-04-11,2026-09-01,True,True,False,True,3
full,month_turn_drift_d5_d10,day,1,True,False,1,True,mtx_1d,2026-08-09,True,c2c|o2o|day|noonpause|night|ongap,c2c,-,0.14664816891376026,0.4043582253727306,0.17015597066880897,0.20133139626190952,0.2816862981457987,0.6153846153846154,-1.1425600224578927,26,0.7327865078195148,0.7266187050359713,0.7266187050359713,-38.02757588499361,1768,22.923741007194245,72.66187050359713,6255,2001-04-10,2026-09-01,False,False,False,True,1
full,nfci_loose_drift_d3_12,c2c,2,True,True,1,True,nfci+mtx_1d,2026-08-08,True,c2c|o2o|day|noonpause|night|ongap,c2c,-,0.5384721682518178,1.6734859905767856,0.6740493633601281,0.6819497155270339,0.8531330958485664,0.75,-0.7035948887886398,24,0.15338515944328515,0.19059801726894787,0.19059801726894787,-19.138060654387377,550,3.586184841701311,19.059801726894786,6254,2001-04-11,2026-09-01,True,True,False,True,3
